song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,artist_name,album_names,playlist
"Nervous (feat. Lil Baby, Jay Critch & Rich the Kid)",79,230408,0.235,0.68,0.732,0.000174,10,0.0705,-7.108,0,0.27,75.422,4,0.864,Famous Dex,"Nervous (feat. Lil Baby, Jay Critch & Rich the Kid)",RapCaviar
DrIP DrIp Drip (feat. Meek Mill),34,230439,0.162,0.71,0.814,0,10,0.16,-4.575,1,0.0561,155.02,4,0.714,Tory Lanez,DrIP DrIp Drip,RapCaviar
Transformer (feat. Nicki Minaj),0,196333,0.00151,0.753,0.616,7.10E-06,2,0.291,-7.34,1,0.165,156.83,4,0.287,Future,Future & Juice WRLD Present... WRLD ON DRUGS,RapCaviar
Nonstop,66,238613,0.0306,0.909,0.405,0.00698,6,0.105,-8.133,0,0.14,154.984,4,0.455,Drake,Scorpion,RapCaviar
I Love It (& Lil Pump),99,127946,0.0114,0.901,0.522,0,2,0.259,-8.304,1,0.33,104.053,4,0.329,Kanye West,I Love It,RapCaviar
WORKIN ME,86,169620,0.182,0.79,0.629,7.06E-06,8,0.338,-4.055,1,0.142,170.023,4,0.267,Quavo,W O R K I N M E,RapCaviar
SaintLaurentYSL (feat. Lil Baby),0,168438,0.566,0.892,0.301,0,10,0.172,-11.21,1,0.74,127.964,4,0.305,Lil Yachty,Nuthin' 2 Prove,RapCaviar
Moonlight,96,135090,0.556,0.921,0.537,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,0.711,XXXTENTACION,?,RapCaviar
GOKU,74,192880,0.228,0.665,0.89,0,1,0.122,-2.39,1,0.197,139.943,4,0.32,Jaden Smith,GOKU,RapCaviar
Lean Wit Me,89,175755,0.0414,0.665,0.651,0,1,0.0896,-5.515,1,0.156,163.935,4,0.237,Juice WRLD,Goodbye & Good Riddance,RapCaviar
Don't Cry (feat. XXXTENTACION),90,249450,0.409,0.585,0.709,0,8,0.183,-6.072,1,0.319,111.913,4,0.21,Lil Wayne,Tha Carter V,RapCaviar
Hopeless Romantic (feat. Swae Lee),76,225483,0.299,0.874,0.492,0,9,0.0983,-7.399,0,0.0604,127.067,4,0.587,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),RapCaviar
Yoppa (with BlocBoy JB),73,163404,0.125,0.814,0.495,0,9,0.11,-7.405,0,0.0772,140.885,4,0.347,Lil Mosey,Yoppa (with BlocBoy JB),RapCaviar
STARGAZING,91,270714,0.00947,0.487,0.789,4.05E-06,8,0.189,-3.69,1,0.044,150.007,4,0.0564,Travis Scott,ASTROWORLD,RapCaviar
"If I'm Lyin, I'm Flyin",83,130929,0.1,0.715,0.617,3.62E-06,11,0.186,-5.558,0,0.242,176.108,4,0.289,Kodak Black,"If I'm Lyin, I'm Flyin",RapCaviar
Shake It Up,84,116680,0.128,0.776,0.608,0,10,0.0932,-6.478,0,0.104,156.025,4,0.402,Trippie Redd,LIFE'S A TRIP,RapCaviar
Mob Ties,61,205146,0.0443,0.755,0.575,0.00127,4,0.276,-8.392,0,0.0673,85.994,4,0.493,Drake,Scorpion,RapCaviar
Ned Flanders (feat. A$AP Ferg),83,161013,0.0254,0.936,0.495,0,1,0.087,-6.062,1,0.229,139.951,4,0.299,MadeinTYO,Ned Flanders (feat. A$AP Ferg),RapCaviar
The Flute Song,80,147600,0.212,0.789,0.524,0,1,0.221,-7.942,0,0.273,138.064,4,0.343,Russ,The Flute Song,RapCaviar
Multi Millionaire (feat. Lil Uzi Vert),81,170958,0.0263,0.854,0.817,0,1,0.169,-3.833,1,0.101,145.976,4,0.704,Lil Pump,Multi Millionaire (feat. Lil Uzi Vert),RapCaviar
Let It Fly (feat. Travis Scott),88,186872,0.0414,0.902,0.819,0,1,0.106,-3.321,1,0.317,89,4,0.746,Lil Wayne,Tha Carter V,RapCaviar
Dip,82,127200,0.0152,0.877,0.562,0,9,0.0933,-7.096,1,0.26,99.977,4,0.376,Tyga,Dip,RapCaviar
Lucky You (feat. Joyner Lucas),96,244679,0.0627,0.876,0.786,0,10,0.127,-4.884,0,0.306,153.068,4,0.575,Eminem,Kamikaze,RapCaviar
151 Rum,77,156695,0.199,0.73,0.86,0.00182,7,0.322,-3.532,1,0.191,129.952,4,0.647,J.I.D,151 Rum,RapCaviar
Self Care,87,345133,0.367,0.52,0.538,0.00187,1,0.119,-8.109,1,0.206,141.894,4,0.177,Mac Miller,Swimming,RapCaviar
Taking A Walk,80,121680,0.68,0.767,0.538,0,0,0.192,-6.044,0,0.052,81.031,4,0.343,Trippie Redd,Taking A Walk,RapCaviar
Murder On My Mind,80,268434,0.145,0.759,0.73,3.06E-06,0,0.11,-7.985,0,0.0516,115.007,4,0.74,YNW Melly,I AM YOU,RapCaviar
Chanel (Go Get It) [feat. Gunna & Lil Baby],84,201706,0.00183,0.938,0.5,0,4,0.077,-10.08,0,0.144,140.011,4,0.462,Young Thug,Slime Language,RapCaviar
Nephew (feat. Lil Pump),84,202962,0.00422,0.792,0.454,0,9,0.285,-6.753,1,0.458,161.993,4,0.674,Smokepurpp,Nephew (feat. Lil Pump),RapCaviar
Neighbor (feat. Travis Scott),79,162886,0.00908,0.921,0.748,0,1,0.0798,-5.093,1,0.13,139.979,4,0.801,Juicy J,Neighbor (feat. Travis Scott),RapCaviar
